words@mnk1988m	@mnk1988m	42.401	42.742	голове
words@mnk1988m	@mnk1988m	42.742	43.082	такой
words@mnk1988m	@mnk1988m	43.082	43.423	картинки
words@mnk1988m	@mnk1988m	43.423	43.763	не
words@mnk1988m	@mnk1988m	43.763	44.104	было
words@mnk1988m	@mnk1988m	44.104	44.445	/
words@mnk1988m	@mnk1988m	44.445	44.785	и
words@mnk1988m	@mnk1988m	44.785	45.126	/
words@mnk1988m	@mnk1988m	45.126	45.467	в
words@mnk1988m	@mnk1988m	45.467	45.807	момент
words@mnk1988m	@mnk1988m	45.807	46.148	когда
words@mnk1988m	@mnk1988m	46.148	46.489	я
words@mnk1988m	@mnk1988m	46.489	46.829	/
words@mnk1988m	@mnk1988m	46.829	47.17	переехал
words@mnk1988m	@mnk1988m	47.17	47.51	в
words@mnk1988m	@mnk1988m	47.51	47.851	Петербург
words@mnk1988m	@mnk1988m	47.851	48.192	/
words@mnk1988m	@mnk1988m	48.192	48.532	и
words@mnk1988m	@mnk1988m	48.532	48.873	когда
words@mnk1988m	@mnk1988m	48.873	49.214	еще
words@mnk1988m	@mnk1988m	49.214	49.554	группы
words@mnk1988m	@mnk1988m	49.554	49.895	не
words@mnk1988m	@mnk1988m	49.895	50.236	было
words@mnk1988m	@mnk1988m	50.236	50.576	/
words@mnk1988m	@mnk1988m	50.576	50.917	то
words@mnk1988m	@mnk1988m	50.917	51.257	есть
words@mnk1988m	@mnk1988m	51.257	51.598	она
words@mnk1988m	@mnk1988m	51.598	51.939	образовалась
words@mnk1988m	@mnk1988m	51.939	52.279	в
words@mnk1988m	@mnk1988m	52.279	52.62	Петербурге
words@mnk1988m	@mnk1988m	52.62	52.961	в
words@mnk1988m	@mnk1988m	52.961	53.301	/
words@mnk1988m	@mnk1988m	53.301	53.642	ну
words@mnk1988m	@mnk1988m	53.642	53.982	датой
words@mnk1988m	@mnk1988m	53.982	54.323	основания
words@mnk1988m	@mnk1988m	54.323	54.664	мы
words@mnk1988m	@mnk1988m	54.664	55.004	считаем
words@mnk1988m	@mnk1988m	55.004	55.345	вообще
words@mnk1988m	@mnk1988m	55.345	55.686	годом
words@mnk1988m	@mnk1988m	55.686	56.026	основания
words@mnk1988m	@mnk1988m	56.026	56.367	так
words@mnk1988m	@mnk1988m	56.367	56.708	скажем
words@mnk1988m	@mnk1988m	56.708	57.048	двенадцатый
words@mnk1988m	@mnk1988m	57.048	57.389	год
words@mnk1988m	@mnk1988m	57.389	57.729	когда
words@mnk1988m	@mnk1988m	57.729	58.07	мы
words@mnk1988m	@mnk1988m	58.07	58.411	/
words@mnk1988m	@mnk1988m	58.411	58.751	познакомились
words@mnk1988m	@mnk1988m	58.751	59.092	с
words@mnk1988m	@mnk1988m	59.092	59.433	Сашей
words@mnk1988m	@mnk1988m	59.433	59.773	Крюковцом
words@mnk1988m	@mnk1988m	59.773	60.114	/
words@mnk1988m	@mnk1988m	60.114	60.455	/
words@mnk1988m	@mnk1988m	62.026	62.364	Но
words@mnk1988m	@mnk1988m	62.364	62.702	с
words@mnk1988m	@mnk1988m	62.702	63.04	/
words@mnk1988m	@mnk1988m	63.04	63.378	Сергей
words@mnk1988m	@mnk1988m	63.378	63.716	Сергеичем
words@mnk1988m	@mnk1988m	63.716	64.054	мы
words@mnk1988m	@mnk1988m	64.054	64.393	собрались
words@mnk1988m	@mnk1988m	64.393	64.731	раньше
words@mnk1988m	@mnk1988m	64.731	65.069	то
words@mnk1988m	@mnk1988m	65.069	65.407	есть
words@mnk1988m	@mnk1988m	65.407	65.745	я
words@mnk1988m	@mnk1988m	65.745	66.083	переехал
words@mnk1988m	@mnk1988m	66.083	66.422	он
words@mnk1988m	@mnk1988m	66.422	66.76	переехал
words@mnk1988m	@mnk1988m	66.76	67.098	следом
words@mnk1988m	@mnk1988m	67.098	67.436	практически
words@mnk1988m	@mnk1988m	67.436	67.774	сразу
words@mnk1988m	@mnk1988m	67.774	68.112	/
words@mnk1988m	@mnk1988m	68.112	68.451	/
words@mnk1988m	@mnk1988m	68.942	69.386	И
words@mnk1988m	@mnk1988m	69.386	69.83	/
words@mnk1988m	@mnk1988m	69.83	70.275	еще
words@mnk1988m	@mnk1988m	70.275	70.719	до
words@mnk1988m	@mnk1988m	70.719	71.164	того
words@mnk1988m	@mnk1988m	71.164	71.608	как
words@mnk1988m	@mnk1988m	71.608	72.053	/
words@mnk1988m	@mnk1988m	72.053	72.497	мы
words@mnk1988m	@mnk1988m	72.497	72.942	/
words@mnk1988m	@mnk1988m	72.942	73.386	решили
words@mnk1988m	@mnk1988m	73.386	73.831	с
words@mnk1988m	@mnk1988m	73.831	74.275	Серёжей
words@mnk1988m	@mnk1988m	74.275	74.72	пробовать
words@mnk1988m	@mnk1988m	74.72	75.164	делать
words@mnk1988m	@mnk1988m	75.164	75.609	/
words@mnk1988m	@mnk1988m	75.609	76.053	что-то
words@mnk1988m	@mnk1988m	76.053	76.498	музыкальное
words@mnk1988m	@mnk1988m	76.498	76.942	/
words@mnk1988m	@mnk1988m	76.942	77.387	у
words@mnk1988m	@mnk1988m	77.387	77.831	меня
words@mnk1988m	@mnk1988m	77.831	78.276	были
words@mnk1988m	@mnk1988m	78.276	78.72	ммм
words@mnk1988m	@mnk1988m	78.72	79.164	/
words@mnk1988m	@mnk1988m	79.164	79.609	некоторые
words@mnk1988m	@mnk1988m	79.609	80.053	зарисовки
words@mnk1988m	@mnk1988m	80.053	80.498	/
words@mnk1988m	@mnk1988m	80.498	80.942	музыкальные
words@mnk1988m	@mnk1988m	80.942	81.387	/
words@mnk1988m	@mnk1988m	81.387	81.831	и
words@mnk1988m	@mnk1988m	81.831	82.276	я
words@mnk1988m	@mnk1988m	82.276	82.72	видел
words@mnk1988m	@mnk1988m	82.72	83.165	инструментальный
words@mnk1988m	@mnk1988m	83.165	83.609	состав
words@mnk1988m	@mnk1988m	83.609	84.054	как
words@mnk1988m	@mnk1988m	84.054	84.498	такой
words@mnk1988m	@mnk1988m	84.498	84.943	/
words@mnk1988m	@mnk1988m	84.943	85.387	там
words@mnk1988m	@mnk1988m	85.387	85.832	было
words@mnk1988m	@mnk1988m	85.832	86.276	фортепиано
words@mnk1988m	@mnk1988m	86.276	86.721	бас-гитара
words@mnk1988m	@mnk1988m	86.721	87.165	и
words@mnk1988m	@mnk1988m	87.165	87.61	ударные
words@mnk1988m	@mnk1988m	87.61	88.054	/
words@mnk1988m	@mnk1988m	88.054	88.499	/
words@mnk1988m	@mnk1988m	89.774	90.115	У
words@mnk1988m	@mnk1988m	90.115	90.457	меня
words@mnk1988m	@mnk1988m	90.457	90.798	даже
words@mnk1988m	@mnk1988m	90.798	91.14	были
words@mnk1988m	@mnk1988m	91.14	91.481	какие-то
words@mnk1988m	@mnk1988m	91.481	91.823	зарисовки
words@mnk1988m	@mnk1988m	91.823	92.164	/
words@mnk1988m	@mnk1988m	92.164	92.506	такого
words@mnk1988m	@mnk1988m	92.506	92.847	плана
words@mnk1988m	@mnk1988m	92.847	93.189	звука
words@mnk1988m	@mnk1988m	93.189	93.53	/
words@mnk1988m	@mnk1988m	93.53	93.872	/
words@mnk1988m	@mnk1988m	94.027	94.373	Потом
words@mnk1988m	@mnk1988m	94.373	94.72	вот
words@mnk1988m	@mnk1988m	94.72	95.067	мы
words@mnk1988m	@mnk1988m	95.067	95.414	встретились
words@mnk1988m	@mnk1988m	95.414	95.761	с
words@mnk1988m	@mnk1988m	95.761	96.107	Серёжей
words@mnk1988m	@mnk1988m	96.107	96.454	ну
words@mnk1988m	@mnk1988m	96.454	96.801	то
words@mnk1988m	@mnk1988m	96.801	97.148	есть
words@mnk1988m	@mnk1988m	97.148	97.495	мы
words@mnk1988m	@mnk1988m	97.495	97.842	знакомы
words@mnk1988m	@mnk1988m	97.842	98.188	были
words@mnk1988m	@mnk1988m	98.188	98.535	и
words@mnk1988m	@mnk1988m	98.535	98.882	до
words@mnk1988m	@mnk1988m	98.882	99.229	этого
words@mnk1988m	@mnk1988m	99.229	99.576	/
words@mnk1988m	@mnk1988m	99.576	99.923	мы
words@mnk1988m	@mnk1988m	99.923	100.269	знакомы
words@mnk1988m	@mnk1988m	100.269	100.616	с
words@mnk1988m	@mnk1988m	100.616	100.963	/
words@mnk1988m	@mnk1988m	100.963	101.31	две
words@mnk1988m	@mnk1988m	101.31	101.657	тысячи
words@mnk1988m	@mnk1988m	101.657	102.004	седьмого
words@mnk1988m	@mnk1988m	102.004	102.35	года
